sample,condition,group,groupby_col,n_cells
GSM5292143,sALS,Astrocytes,cell_class_major_harmony,516
GSM5292144,sALS,Astrocytes,cell_class_major_harmony,689
GSM5292145,sALS,Astrocytes,cell_class_major_harmony,307
GSM5292146,c9ALS,Astrocytes,cell_class_major_harmony,719
GSM5292147,c9ALS,Astrocytes,cell_class_major_harmony,658
GSM5292148,sALS,Astrocytes,cell_class_major_harmony,656
GSM5292156,c9ALS,Astrocytes,cell_class_major_harmony,475
GSM5292157,c9ALS,Astrocytes,cell_class_major_harmony,490
GSM5292174,Control,Astrocytes,cell_class_major_harmony,459
GSM5292175,Control,Astrocytes,cell_class_major_harmony,532
GSM5292176,Control,Astrocytes,cell_class_major_harmony,967
GSM5292177,Control,Astrocytes,cell_class_major_harmony,353
