sample,condition,group_value,groupby_col,n_cells
GSM5292143,sALS,Projection_like_SCN4B,exc_subclass_focus,162
GSM5292144,sALS,Projection_like_SCN4B,exc_subclass_focus,133
GSM5292146,c9ALS,Projection_like_SCN4B,exc_subclass_focus,325
GSM5292147,c9ALS,Projection_like_SCN4B,exc_subclass_focus,488
GSM5292148,sALS,Projection_like_SCN4B,exc_subclass_focus,127
GSM5292156,c9ALS,Projection_like_SCN4B,exc_subclass_focus,266
GSM5292157,c9ALS,Projection_like_SCN4B,exc_subclass_focus,291
GSM5292174,Control,Projection_like_SCN4B,exc_subclass_focus,107
GSM5292175,Control,Projection_like_SCN4B,exc_subclass_focus,118
GSM5292176,Control,Projection_like_SCN4B,exc_subclass_focus,104
GSM5292177,Control,Projection_like_SCN4B,exc_subclass_focus,59
