leiden_harmony,GSM5292143,GSM5292144,GSM5292145,GSM5292146,GSM5292147,GSM5292148,GSM5292156,GSM5292157,GSM5292174,GSM5292175,GSM5292176,GSM5292177
0,2494,4789,1975,2485,2673,3817,1656,1717,1892,2098,2139,878
1,922,2809,1561,1047,1241,2481,1247,1049,943,1350,1322,537
2,1284,748,23,721,1314,293,543,1213,283,191,136,98
3,922,389,95,451,342,484,459,523,626,557,141,308
4,475,576,258,414,500,558,328,360,338,404,780,211
5,129,282,756,373,699,601,240,375,327,318,85,54
6,331,249,164,551,438,118,206,271,381,237,198,208
7,550,293,24,208,447,184,184,319,126,58,83,23
8,197,113,11,282,462,64,158,299,82,87,90,79
9,261,159,27,279,388,112,60,213,67,90,189,62
10,128,87,29,327,223,62,128,199,107,175,247,113
11,129,121,12,222,431,97,248,234,81,93,62,43
12,70,268,164,99,47,135,208,97,95,251,104,69
13,136,61,9,272,442,55,72,207,57,31,49,24
14,7,936,8,13,18,13,8,4,179,7,16,8
15,238,105,13,184,134,44,73,159,40,27,21,36
16,143,122,15,131,145,75,62,95,38,41,91,16
17,28,55,11,179,79,56,97,81,55,49,91,46
18,22,64,45,102,73,57,50,41,38,63,95,61
19,41,16,6,145,67,31,28,67,34,30,50,17
20,35,23,4,119,75,11,28,50,12,27,32,24
21,41,71,2,37,39,67,16,19,16,46,7,10
22,43,24,7,26,38,50,23,11,14,18,6,11
23,27,14,0,48,6,3,4,33,17,14,26,15
24,7,10,0,30,12,5,9,21,30,18,7,37
