leiden,GSM5292143,GSM5292144,GSM5292145,GSM5292146,GSM5292147,GSM5292148,GSM5292156,GSM5292157,GSM5292174,GSM5292175,GSM5292176,GSM5292177
0,6,23,9,15,40,5878,2325,2640,2910,14,9,9
1,2757,1903,2571,864,1078,381,326,144,93,1604,1547,605
2,529,1077,28,2496,2845,311,247,320,114,827,494,197
3,1548,862,36,889,1449,331,596,1376,309,211,136,124
4,249,1376,1600,474,525,107,235,49,40,1207,1024,467
5,21,4444,92,106,148,237,24,4,202,129,490,201
6,939,391,96,491,354,492,464,566,665,571,138,344
7,472,575,258,413,500,557,324,358,338,404,779,211
8,311,231,23,515,913,164,434,536,170,185,153,134
9,331,243,164,551,438,120,205,267,381,238,208,207
10,548,296,24,205,444,187,185,323,120,58,80,20
11,152,103,33,451,281,71,149,241,119,202,296,132
12,268,159,26,276,386,111,58,208,61,89,189,59
13,60,276,163,91,46,129,213,77,86,256,113,71
14,50,121,56,282,150,114,146,122,96,112,186,109
15,132,60,10,278,447,56,75,211,63,31,49,27
16,142,121,15,130,144,74,59,92,36,41,93,18
17,81,95,9,60,74,119,40,29,30,62,13,21
18,37,15,6,111,65,31,26,61,28,25,42,16
19,27,13,0,47,6,3,4,33,17,14,28,16
