leiden_harmony,Ex.L2_L3.CUX2_RASGRF2_score,Ex.L3_L5.CUX2_RORB_score,Ex.L3_L5.SCN4B_NEFH_score,Ex.L4_L5.RORB_FOXO1_score,Ex.L4_L5.RORB_POU3F2_score,Ex.L4_L6.RORB_ADGRL4_score,Ex.L4_L6.RORB_LRRK1_score,Ex.L5_L6.THEMIS_NR4A2_score,Ex.L5_L6.THEMIS_TMEM233_score,Ex.L5.PCP4_NXPH2_score,Ex.L5.VAT1L_EYA4_score,Ex.L5.VAT1L_THSD4_score,Ex.L6.TLE4_CCBE1_score,Ex.L6.TLE4_MEGF11_score,Ex.L6.TLE4_SEMA3D_score
2,0.6444224076063514,0.4207372004060118,0.07288330976115516,0.16621027444913697,0.2324891056635783,0.18878383489393652,0.15658791894550825,0.20582369387197064,0.4248748101504168,0.007576761498480324,0.10240113052656917,0.1503256911133434,0.18949410090125143,0.2936702113646142,0.13526659266565258
8,0.19960968703766607,0.33179341656318584,0.058151381869517155,0.3561307828178649,0.4053945498529553,0.448435767196629,0.615637459591231,0.22026169248781605,0.395995144031894,0.21460658121386617,0.1417555250724877,0.1864047221987972,0.370981729082864,0.4284252961276712,0.2098704551635196
10,0.4148878875720762,0.31249354469806856,0.08049777855504579,0.27505857624472974,0.3099770802081416,0.3987487348633062,0.2964000887865279,0.37079980475198254,0.7293195438326098,0.07171442636777128,0.13574084460817856,0.1735938702195098,0.3232035756907013,0.44309818769314374,0.21078249302005844
11,0.1586948171332048,0.30970610799128573,0.02925790035916713,0.5774547240302419,0.6816663217637128,0.6066057503151424,0.4111462182565219,0.25014395146728163,0.382542827783788,0.1687345503093343,0.030946742362997853,0.05326293743052003,0.22389948737821905,0.32675056256960244,0.15163463579962988
15,0.3413875298209635,0.6324002468990998,0.1188938948146169,0.48870575183016174,0.4592000430987762,0.3816286028222313,0.384430908892141,0.26471769446304605,0.3591077344384192,0.17523570144652326,0.1430063756290332,0.22142963255134748,0.2754468640794952,0.33691968581150394,0.15671534601808115
17,0.2127622833377767,0.16151248207945634,0.03460343087200143,0.2315168582341512,0.28344785987888543,0.3085424273452701,0.35139805550715736,0.26175572243541495,0.49341256366752034,0.320487142592871,0.1585880940720356,0.23626824200966484,0.6505377524424175,0.997236313048531,0.5000142070973634
18,0.21094269819530137,0.148690055879744,-0.0023450715293664823,0.24446801732020523,0.25534370258982336,0.28577436620296187,0.37442047238246806,0.26711281820443455,0.46239769370879974,0.28972073340970655,0.12239690488762563,0.20304083617754526,0.9585552193836667,0.6814041248256417,0.7235569702356517
19,0.06867889184353837,0.1335816744819905,0.008836682298025771,0.2789605334756962,0.3066969698312588,0.24325744602241078,0.3199249963242369,0.16364512309645726,0.1486125218806701,0.7728897006894316,0.12133894671521721,0.18843664500456672,0.423412356216036,0.4539872533026625,0.2705558075784962
20,0.2803585439026899,0.25408791514372275,0.04016987316914053,0.28421370535388346,0.2689941031266428,0.3403166621865496,0.2296219021938026,0.9291192197123875,0.5433927467596191,0.1145406299285081,0.1321996989824133,0.14030160138588427,0.29132560242426236,0.3768509554365118,0.19121384333436078
23,0.284076133153101,0.32328591760239483,0.2232390785150353,0.11019813864354511,0.1497196681213416,0.17295671963201395,0.28030106917226494,0.2145444782823179,0.3704423905699045,0.18005481687669814,0.6104486628029137,0.6855881374239241,0.3733868751350987,0.4390182929363065,0.19953329085772692
