cluster,rank,subtype_score_name,suggested_subtype,mean_score
2,1,Ex.L2_L3.CUX2_RASGRF2_score,Ex.L2_L3.CUX2_RASGRF2,0.6444224076063514
2,2,Ex.L5_L6.THEMIS_TMEM233_score,Ex.L5_L6.THEMIS_TMEM233,0.4248748101504168
2,3,Ex.L3_L5.CUX2_RORB_score,Ex.L3_L5.CUX2_RORB,0.4207372004060118
2,4,Ex.L6.TLE4_MEGF11_score,Ex.L6.TLE4_MEGF11,0.2936702113646142
2,5,Ex.L4_L5.RORB_POU3F2_score,Ex.L4_L5.RORB_POU3F2,0.2324891056635783
8,1,Ex.L4_L6.RORB_LRRK1_score,Ex.L4_L6.RORB_LRRK1,0.615637459591231
8,2,Ex.L4_L6.RORB_ADGRL4_score,Ex.L4_L6.RORB_ADGRL4,0.448435767196629
8,3,Ex.L6.TLE4_MEGF11_score,Ex.L6.TLE4_MEGF11,0.4284252961276712
8,4,Ex.L4_L5.RORB_POU3F2_score,Ex.L4_L5.RORB_POU3F2,0.4053945498529553
8,5,Ex.L5_L6.THEMIS_TMEM233_score,Ex.L5_L6.THEMIS_TMEM233,0.395995144031894
10,1,Ex.L5_L6.THEMIS_TMEM233_score,Ex.L5_L6.THEMIS_TMEM233,0.7293195438326098
10,2,Ex.L6.TLE4_MEGF11_score,Ex.L6.TLE4_MEGF11,0.44309818769314374
10,3,Ex.L2_L3.CUX2_RASGRF2_score,Ex.L2_L3.CUX2_RASGRF2,0.4148878875720762
10,4,Ex.L4_L6.RORB_ADGRL4_score,Ex.L4_L6.RORB_ADGRL4,0.3987487348633062
10,5,Ex.L5_L6.THEMIS_NR4A2_score,Ex.L5_L6.THEMIS_NR4A2,0.37079980475198254
11,1,Ex.L4_L5.RORB_POU3F2_score,Ex.L4_L5.RORB_POU3F2,0.6816663217637128
11,2,Ex.L4_L6.RORB_ADGRL4_score,Ex.L4_L6.RORB_ADGRL4,0.6066057503151424
11,3,Ex.L4_L5.RORB_FOXO1_score,Ex.L4_L5.RORB_FOXO1,0.5774547240302419
11,4,Ex.L4_L6.RORB_LRRK1_score,Ex.L4_L6.RORB_LRRK1,0.4111462182565219
11,5,Ex.L5_L6.THEMIS_TMEM233_score,Ex.L5_L6.THEMIS_TMEM233,0.382542827783788
15,1,Ex.L3_L5.CUX2_RORB_score,Ex.L3_L5.CUX2_RORB,0.6324002468990998
15,2,Ex.L4_L5.RORB_FOXO1_score,Ex.L4_L5.RORB_FOXO1,0.48870575183016174
15,3,Ex.L4_L5.RORB_POU3F2_score,Ex.L4_L5.RORB_POU3F2,0.4592000430987762
15,4,Ex.L4_L6.RORB_LRRK1_score,Ex.L4_L6.RORB_LRRK1,0.384430908892141
15,5,Ex.L4_L6.RORB_ADGRL4_score,Ex.L4_L6.RORB_ADGRL4,0.3816286028222313
17,1,Ex.L6.TLE4_MEGF11_score,Ex.L6.TLE4_MEGF11,0.997236313048531
17,2,Ex.L6.TLE4_CCBE1_score,Ex.L6.TLE4_CCBE1,0.6505377524424175
17,3,Ex.L6.TLE4_SEMA3D_score,Ex.L6.TLE4_SEMA3D,0.5000142070973634
17,4,Ex.L5_L6.THEMIS_TMEM233_score,Ex.L5_L6.THEMIS_TMEM233,0.49341256366752034
17,5,Ex.L4_L6.RORB_LRRK1_score,Ex.L4_L6.RORB_LRRK1,0.35139805550715736
18,1,Ex.L6.TLE4_CCBE1_score,Ex.L6.TLE4_CCBE1,0.9585552193836667
18,2,Ex.L6.TLE4_SEMA3D_score,Ex.L6.TLE4_SEMA3D,0.7235569702356517
18,3,Ex.L6.TLE4_MEGF11_score,Ex.L6.TLE4_MEGF11,0.6814041248256417
18,4,Ex.L5_L6.THEMIS_TMEM233_score,Ex.L5_L6.THEMIS_TMEM233,0.46239769370879974
18,5,Ex.L4_L6.RORB_LRRK1_score,Ex.L4_L6.RORB_LRRK1,0.37442047238246806
19,1,Ex.L5.PCP4_NXPH2_score,Ex.L5.PCP4_NXPH2,0.7728897006894316
19,2,Ex.L6.TLE4_MEGF11_score,Ex.L6.TLE4_MEGF11,0.4539872533026625
19,3,Ex.L6.TLE4_CCBE1_score,Ex.L6.TLE4_CCBE1,0.423412356216036
19,4,Ex.L4_L6.RORB_LRRK1_score,Ex.L4_L6.RORB_LRRK1,0.3199249963242369
19,5,Ex.L4_L5.RORB_POU3F2_score,Ex.L4_L5.RORB_POU3F2,0.3066969698312588
20,1,Ex.L5_L6.THEMIS_NR4A2_score,Ex.L5_L6.THEMIS_NR4A2,0.9291192197123875
20,2,Ex.L5_L6.THEMIS_TMEM233_score,Ex.L5_L6.THEMIS_TMEM233,0.5433927467596191
20,3,Ex.L6.TLE4_MEGF11_score,Ex.L6.TLE4_MEGF11,0.3768509554365118
20,4,Ex.L4_L6.RORB_ADGRL4_score,Ex.L4_L6.RORB_ADGRL4,0.3403166621865496
20,5,Ex.L6.TLE4_CCBE1_score,Ex.L6.TLE4_CCBE1,0.29132560242426236
23,1,Ex.L5.VAT1L_THSD4_score,Ex.L5.VAT1L_THSD4,0.6855881374239241
23,2,Ex.L5.VAT1L_EYA4_score,Ex.L5.VAT1L_EYA4,0.6104486628029137
23,3,Ex.L6.TLE4_MEGF11_score,Ex.L6.TLE4_MEGF11,0.4390182929363065
23,4,Ex.L6.TLE4_CCBE1_score,Ex.L6.TLE4_CCBE1,0.3733868751350987
23,5,Ex.L5_L6.THEMIS_TMEM233_score,Ex.L5_L6.THEMIS_TMEM233,0.3704423905699045
